"","start_date","state","retail_rec_p1","grocery_rx_p1","parks_p1","transit_p1","workplaces_p1","residential_p1","end_date","retail_rec_p2","grocery_rx_p2","parks_p2","transit_p2","workplaces_p2","residential_p2","retail_rec_change","grocery_rx_change","parks_change","transit_change","workplace_change","residential_change"
"132",2020-06-26,"Louisiana",-15,-3,5,-20,-31,10,2020-07-03,-11,8,3,-20,-52,15,4,11,-2,0,-21,5
"133",2020-06-27,"Louisiana",-19,-1,-7,-15,-16,5,2020-07-04,-35,-2,-12,-28,-30,7,-16,-1,-5,-13,-14,2
"134",2020-06-21,"Maine",10,22,282,20,-3,-3,2020-06-28,7,14,249,29,-2,-1,-3,-8,-33,9,1,2
"135",2020-06-22,"Maine",2,8,182,0,-33,7,2020-06-29,-2,5,85,-6,-34,10,-4,-3,-97,-6,-1,3
"136",2020-06-23,"Maine",3,8,205,2,-32,7,2020-06-30,2,7,124,-4,-33,10,-1,-1,-81,-6,-1,3
"137",2020-06-24,"Maine",1,7,132,2,-32,8,2020-07-01,12,17,194,10,-33,7,11,10,62,8,-1,-1
"138",2020-06-25,"Maine",3,12,245,8,-29,6,2020-07-02,17,27,341,20,-34,5,14,15,96,12,-5,-1
"139",2020-06-26,"Maine",-5,5,221,0,-31,7,2020-07-03,9,27,320,4,-54,11,14,22,99,4,-23,4
"140",2020-06-27,"Maine",-7,5,221,18,-9,1,2020-07-04,-24,4,362,-3,-23,-1,-17,-1,141,-21,-14,-2
"141",2020-06-21,"Maryland",-17,-1,153,-21,-14,4,2020-06-28,-17,-4,152,-20,-12,4,0,-3,-1,1,2,0
"142",2020-06-22,"Maryland",-20,-11,49,-39,-45,16,2020-06-29,-12,-5,95,-35,-42,14,8,6,46,4,3,-2
"143",2020-06-23,"Maryland",-13,-1,106,-35,-45,15,2020-06-30,-6,1,130,-33,-42,13,7,2,24,2,3,-2
"144",2020-06-24,"Maryland",-12,-1,125,-33,-43,14,2020-07-01,-7,2,98,-31,-43,14,5,3,-27,2,0,0
"145",2020-06-25,"Maryland",-14,-3,93,-34,-44,15,2020-07-02,-2,9,131,-29,-44,12,12,12,38,5,0,-3
"146",2020-06-26,"Maryland",-16,-3,129,-31,-42,14,2020-07-03,-9,9,168,-34,-61,17,7,12,39,-3,-19,3
"147",2020-06-27,"Maryland",-19,-2,176,-15,-13,4,2020-07-04,-31,-6,192,-30,-26,5,-12,-4,16,-15,-13,1
"148",2020-06-21,"Massachusetts",-21,-8,112,-41,-11,2,2020-06-28,-22,-17,71,-42,-12,5,-1,-9,-41,-1,-1,3
"149",2020-06-22,"Massachusetts",-16,-10,88,-52,-46,14,2020-06-29,-17,-11,31,-53,-45,15,-1,-1,-57,-1,1,1
"150",2020-06-23,"Massachusetts",-15,-8,99,-51,-46,14,2020-06-30,-14,-7,43,-52,-45,15,1,1,-56,-1,1,1
"151",2020-06-24,"Massachusetts",-17,-7,69,-51,-45,15,2020-07-01,-11,-3,65,-48,-45,14,6,4,-4,3,0,-1
"152",2020-06-25,"Massachusetts",-15,-2,115,-49,-44,14,2020-07-02,-5,7,143,-44,-45,12,10,9,28,5,-1,-2
"153",2020-06-26,"Massachusetts",-21,-6,94,-47,-43,14,2020-07-03,-14,9,83,-50,-61,17,7,15,-11,-3,-18,3
"154",2020-06-27,"Massachusetts",-25,-12,95,-37,-17,6,2020-07-04,-40,-19,178,-42,-32,4,-15,-7,83,-5,-15,-2
"155",2020-06-21,"Michigan",-4,11,260,-10,-8,-1,2020-06-28,0,7,401,1,-5,-2,4,-4,141,11,3,-1
"156",2020-06-22,"Michigan",-4,0,169,-22,-38,9,2020-06-29,2,5,239,-15,-36,8,6,5,70,7,2,-1
"157",2020-06-23,"Michigan",-2,2,131,-20,-38,10,2020-06-30,4,8,243,-14,-36,8,6,6,112,6,2,-2
"158",2020-06-24,"Michigan",3,6,211,-13,-35,8,2020-07-01,9,15,262,-8,-37,7,6,9,51,5,-2,-1
"159",2020-06-25,"Michigan",2,7,243,-12,-35,8,2020-07-02,11,21,309,-4,-40,7,9,14,66,8,-5,-1
"160",2020-06-26,"Michigan",-12,-2,192,-12,-36,10,2020-07-03,-7,16,360,-11,-60,13,5,18,168,1,-24,3
"161",2020-06-27,"Michigan",-10,6,305,2,-8,1,2020-07-04,-34,3,417,-9,-29,1,-24,-3,112,-11,-21,0
"162",2020-06-21,"Minnesota",-11,7,183,-33,-7,-1,2020-06-28,-12,3,191,-32,-7,0,-1,-4,8,1,0,1
"163",2020-06-22,"Minnesota",-7,4,165,-39,-39,11,2020-06-29,-6,3,108,-43,-39,12,1,-1,-57,-4,0,1
"164",2020-06-23,"Minnesota",-6,7,179,-36,-39,11,2020-06-30,-1,10,166,-39,-38,11,5,3,-13,-3,1,0
"165",2020-06-24,"Minnesota",-4,8,208,-35,-38,10,2020-07-01,2,15,172,-35,-39,10,6,7,-36,0,-1,0
"166",2020-06-25,"Minnesota",-8,9,195,-35,-38,11,2020-07-02,2,22,197,-34,-43,9,10,13,2,1,-5,-2
"167",2020-06-26,"Minnesota",-12,8,163,-33,-38,10,2020-07-03,-9,17,233,-41,-62,13,3,9,70,-8,-24,3
"168",2020-06-27,"Minnesota",-19,8,193,-24,-8,2,2020-07-04,-40,-5,202,-41,-24,2,-21,-13,9,-17,-16,0
"169",2020-06-21,"Mississippi",-4,8,53,5,-15,2,2020-06-28,-5,0,51,8,-14,3,-1,-8,-2,3,1,1
"170",2020-06-22,"Mississippi",-4,0,17,2,-28,7,2020-06-29,2,3,35,4,-27,6,6,3,18,2,1,-1
"171",2020-06-23,"Mississippi",1,6,30,3,-27,7,2020-06-30,7,7,44,8,-28,6,6,1,14,5,-1,-1
"172",2020-06-24,"Mississippi",1,4,21,2,-27,8,2020-07-01,11,9,32,8,-30,6,10,5,11,6,-3,-2
"173",2020-06-25,"Mississippi",-3,3,31,4,-26,8,2020-07-02,10,13,41,10,-31,7,13,10,10,6,-5,-1
"174",2020-06-26,"Mississippi",-8,-3,29,4,-28,8,2020-07-03,4,16,61,2,-52,11,12,19,32,-2,-24,3
"175",2020-06-27,"Mississippi",-7,3,56,11,-12,3,2020-07-04,-30,-2,53,-15,-30,5,-23,-5,-3,-26,-18,2
"176",2020-06-21,"Missouri",-1,15,121,-4,-7,-1,2020-06-28,-2,7,114,-1,-7,1,-1,-8,-7,3,0,2
"177",2020-06-22,"Missouri",-4,4,81,-14,-33,9,2020-06-29,-1,6,100,-12,-32,8,3,2,19,2,1,-1
"178",2020-06-23,"Missouri",-1,6,146,-11,-34,8,2020-06-30,-2,4,79,-13,-33,9,-1,-2,-67,-2,1,1
"179",2020-06-24,"Missouri",7,8,107,-4,-30,5,2020-07-01,12,14,69,-1,-32,6,5,6,-38,3,-2,1
"180",2020-06-25,"Missouri",-1,8,126,-8,-32,8,2020-07-02,9,22,132,0,-35,7,10,14,6,8,-3,-1
"181",2020-06-26,"Missouri",1,3,163,-2,-23,6,2020-07-03,9,23,203,-1,-50,10,8,20,40,1,-27,4
"182",2020-06-27,"Missouri",-12,6,136,0,-7,2,2020-07-04,-31,7,162,-14,-25,1,-19,1,26,-14,-18,-1
"183",2020-06-21,"Montana",12,29,174,31,-8,-4,2020-06-28,9,21,110,33,-7,0,-3,-8,-64,2,1,4
"184",2020-06-22,"Montana",14,21,222,20,-23,2,2020-06-29,13,19,104,19,-23,6,-1,-2,-118,-1,0,4
"185",2020-06-23,"Montana",12,23,248,16,-24,3,2020-06-30,13,21,143,16,-24,6,1,-2,-105,0,0,3
"186",2020-06-24,"Montana",11,21,197,14,-23,3,2020-07-01,18,29,191,25,-24,3,7,8,-6,11,-1,0
"187",2020-06-25,"Montana",13,24,216,20,-23,3,2020-07-02,23,41,263,43,-27,2,10,17,47,23,-4,-1
"188",2020-06-26,"Montana",3,24,219,23,-25,2,2020-07-03,6,41,276,32,-49,6,3,17,57,9,-24,4
"189",2020-06-27,"Montana",-1,23,188,31,-11,-1,2020-07-04,-24,32,255,14,-27,-2,-23,9,67,-17,-16,-1
"190",2020-06-21,"Nebraska",-6,10,169,11,-5,0,2020-06-28,-6,5,177,16,-6,0,0,-5,8,5,-1,0
"191",2020-06-22,"Nebraska",-4,1,139,0,-31,9,2020-06-29,1,7,154,6,-31,8,5,6,15,6,0,-1
"192",2020-06-23,"Nebraska",-2,4,192,7,-31,8,2020-06-30,1,7,157,6,-31,8,3,3,-35,-1,0,0
"193",2020-06-24,"Nebraska",-1,7,176,8,-30,8,2020-07-01,7,16,155,12,-32,7,8,9,-21,4,-2,-1
"194",2020-06-25,"Nebraska",-4,6,172,9,-31,8,2020-07-02,9,23,194,16,-35,7,13,17,22,7,-4,-1
"195",2020-06-26,"Nebraska",-5,8,178,10,-30,7,2020-07-03,4,33,251,13,-57,11,9,25,73,3,-27,4
"196",2020-06-27,"Nebraska",-12,6,230,17,-7,1,2020-07-04,-35,9,237,3,-33,1,-23,3,7,-14,-26,0
"197",2020-06-21,"Nevada",-16,-1,-5,-35,-24,4,2020-06-28,-19,-7,-18,-34,-23,6,-3,-6,-13,1,1,2
"198",2020-06-22,"Nevada",-15,-5,-10,-34,-38,10,2020-06-29,-12,-3,-4,-32,-35,10,3,2,6,2,3,0
"199",2020-06-23,"Nevada",-13,-1,-9,-33,-38,10,2020-06-30,-9,1,-6,-30,-36,10,4,2,3,3,2,0
"200",2020-06-24,"Nevada",-13,-1,-8,-32,-37,10,2020-07-01,-9,5,-8,-26,-37,10,4,6,0,6,0,0
"201",2020-06-25,"Nevada",-14,-2,-13,-33,-37,11,2020-07-02,-7,8,-7,-26,-39,10,7,10,6,7,-2,-1
"202",2020-06-26,"Nevada",-18,-4,-14,-34,-37,11,2020-07-03,-11,10,-1,-31,-53,14,7,14,13,3,-16,3
"203",2020-06-27,"Nevada",-21,-4,-21,-30,-26,6,2020-07-04,-29,1,-12,-34,-33,7,-8,5,9,-4,-7,1
"204",2020-06-21,"New Hampshire",-1,4,199,-3,-7,-1,2020-06-28,-2,-2,147,-5,-6,2,-1,-6,-52,-2,1,3
"205",2020-06-22,"New Hampshire",3,2,189,-14,-36,10,2020-06-29,3,2,105,-15,-35,11,0,0,-84,-1,1,1
"206",2020-06-23,"New Hampshire",2,7,220,-8,-36,10,2020-06-30,5,7,117,-15,-35,12,3,0,-103,-7,1,2
"207",2020-06-24,"New Hampshire",2,6,128,-14,-34,12,2020-07-01,9,12,150,-13,-36,11,7,6,22,1,-2,-1
"208",2020-06-25,"New Hampshire",3,8,252,-6,-33,9,2020-07-02,16,23,349,4,-37,8,13,15,97,10,-4,-1
"209",2020-06-26,"New Hampshire",-5,5,233,-14,-34,10,2020-07-03,10,26,284,-19,-60,15,15,21,51,-5,-26,5
"210",2020-06-27,"New Hampshire",-9,0,181,-2,-10,3,2020-07-04,-28,-2,331,-20,-29,1,-19,-2,150,-18,-19,-2
"211",2020-06-21,"New Jersey",-30,-3,171,-38,-11,4,2020-06-28,-28,-5,173,-35,-9,5,2,-2,2,3,2,1
"212",2020-06-22,"New Jersey",-23,-5,122,-45,-45,15,2020-06-29,-18,-1,139,-41,-42,13,5,4,17,4,3,-2
"213",2020-06-23,"New Jersey",-22,1,125,-44,-45,15,2020-06-30,-18,1,104,-43,-43,14,4,0,-21,1,2,-1
"214",2020-06-24,"New Jersey",-21,0,137,-42,-43,14,2020-07-01,-18,1,94,-41,-43,14,3,1,-43,1,0,0
"215",2020-06-25,"New Jersey",-23,1,130,-42,-44,15,2020-07-02,-10,12,163,-36,-44,12,13,11,33,6,0,-3
"216",2020-06-26,"New Jersey",-27,0,140,-39,-42,14,2020-07-03,-15,14,153,-41,-60,18,12,14,13,-2,-18,4
"217",2020-06-27,"New Jersey",-30,-2,141,-30,-14,6,2020-07-04,-38,-5,219,-36,-29,5,-8,-3,78,-6,-15,-1
"218",2020-06-21,"New Mexico",-16,9,39,-9,-9,2,2020-06-28,-14,0,41,-1,-11,4,2,-9,2,8,-2,2
"219",2020-06-22,"New Mexico",-10,1,36,-10,-36,10,2020-06-29,-8,2,38,-5,-34,9,2,1,2,5,2,-1
"220",2020-06-23,"New Mexico",-9,4,37,-7,-36,11,2020-06-30,-5,7,41,-4,-34,10,4,3,4,3,2,-1
"221",2020-06-24,"New Mexico",-8,4,39,-10,-34,11,2020-07-01,-2,10,41,-2,-34,10,6,6,2,8,0,-1
"222",2020-06-25,"New Mexico",-8,5,50,-6,-35,11,2020-07-02,0,17,53,2,-38,10,8,12,3,8,-3,-1
"223",2020-06-26,"New Mexico",-13,6,40,-8,-32,10,2020-07-03,-7,21,60,-3,-53,12,6,15,20,5,-21,2
"224",2020-06-27,"New Mexico",-19,0,40,-2,-14,5,2020-07-04,-35,3,42,-19,-24,6,-16,3,2,-17,-10,1
"225",2020-06-21,"New York",-34,-2,112,-41,-15,3,2020-06-28,-30,-6,100,-39,-14,4,4,-4,-12,2,1,1
"226",2020-06-22,"New York",-31,-8,48,-50,-45,14,2020-06-29,-25,-4,55,-48,-42,13,6,4,7,2,3,-1
"227",2020-06-23,"New York",-28,0,58,-47,-44,14,2020-06-30,-23,0,47,-47,-42,13,5,0,-11,0,2,-1
"228",2020-06-24,"New York",-27,-1,60,-47,-42,14,2020-07-01,-22,3,49,-46,-42,13,5,4,-11,1,0,-1
"229",2020-06-25,"New York",-27,1,63,-47,-42,13,2020-07-02,-17,10,86,-43,-43,11,10,9,23,4,-1,-2
"230",2020-06-26,"New York",-31,-1,64,-45,-42,13,2020-07-03,-25,10,52,-50,-58,17,6,11,-12,-5,-16,4
"231",2020-06-27,"New York",-34,-4,48,-40,-19,6,2020-07-04,-44,-6,129,-43,-31,4,-10,-2,81,-3,-12,-2
"232",2020-06-21,"North Carolina",-12,6,74,-22,-14,1,2020-06-28,-15,-2,56,-23,-14,3,-3,-8,-18,-1,0,2
"233",2020-06-22,"North Carolina",-10,1,79,-23,-35,9,2020-06-29,-8,3,80,-23,-34,9,2,2,1,0,1,0
"234",2020-06-23,"North Carolina",-9,3,77,-21,-34,10,2020-06-30,-7,3,68,-21,-34,10,2,0,-9,0,0,0
"235",2020-06-24,"North Carolina",-9,2,70,-22,-33,9,2020-07-01,-5,5,63,-19,-36,9,4,3,-7,3,-3,0
"236",2020-06-25,"North Carolina",-10,3,60,-24,-33,10,2020-07-02,0,13,85,-16,-38,9,10,10,25,8,-5,-1
"237",2020-06-26,"North Carolina",-12,3,98,-21,-33,8,2020-07-03,-6,14,138,-22,-56,12,6,11,40,-1,-23,4
"238",2020-06-27,"North Carolina",-16,2,110,-13,-11,2,2020-07-04,-31,0,113,-25,-27,4,-15,-2,3,-12,-16,2
"239",2020-06-21,"North Dakota",3,10,294,-1,-5,-5,2020-06-28,0,5,216,2,-5,-3,-3,-5,-78,3,0,2
"240",2020-06-22,"North Dakota",4,2,180,-4,-24,5,2020-06-29,7,6,163,-2,-24,5,3,4,-17,2,0,0
"241",2020-06-23,"North Dakota",4,7,191,0,-25,5,2020-06-30,5,6,73,-1,-26,8,1,-1,-118,-1,-1,3
"242",2020-06-24,"North Dakota",6,8,NA,5,-24,4,2020-07-01,16,20,NA,9,-26,4,10,12,NA,4,-2,0
"243",2020-06-25,"North Dakota",5,6,168,0,-25,6,2020-07-02,15,24,227,8,-31,3,10,18,59,8,-6,-3
"244",2020-06-26,"North Dakota",-2,7,233,9,-24,4,2020-07-03,-6,12,300,-7,-55,10,-4,5,67,-16,-31,6
"245",2020-06-27,"North Dakota",-12,3,259,5,-6,-1,2020-07-04,-39,-8,309,-21,-25,-1,-27,-11,50,-26,-19,0
"246",2020-06-21,"Ohio",-6,8,207,2,-9,-1,2020-06-28,-6,2,248,7,-8,0,0,-6,41,5,1,1
"247",2020-06-22,"Ohio",-6,0,106,-7,-34,9,2020-06-29,-2,3,155,-2,-32,8,4,3,49,5,2,-1
"248",2020-06-23,"Ohio",-4,2,122,-5,-34,9,2020-06-30,1,7,176,0,-33,8,5,5,54,5,1,-1
"249",2020-06-24,"Ohio",-1,4,182,-1,-32,8,2020-07-01,6,13,190,4,-34,7,7,9,8,5,-2,-1
"250",2020-06-25,"Ohio",-2,7,185,-1,-32,8,2020-07-02,9,21,212,6,-37,7,11,14,27,7,-5,-1
"251",2020-06-26,"Ohio",-10,0,204,1,-32,8,2020-07-03,-3,17,274,-2,-58,12,7,17,70,-3,-26,4
"252",2020-06-27,"Ohio",-12,2,190,9,-10,2,2020-07-04,-35,0,271,-4,-30,1,-23,-2,81,-13,-20,-1
"253",2020-06-21,"Oklahoma",-4,8,71,6,-10,1,2020-06-28,-5,4,75,10,-9,2,-1,-4,4,4,1,1
"254",2020-06-22,"Oklahoma",-1,5,59,1,-31,8,2020-06-29,-1,4,53,2,-30,8,0,-1,-6,1,1,0
"255",2020-06-23,"Oklahoma",0,7,92,1,-30,7,2020-06-30,5,9,83,4,-30,7,5,2,-9,3,0,0
"256",2020-06-24,"Oklahoma",4,10,104,7,-28,6,2020-07-01,9,18,84,12,-30,5,5,8,-20,5,-2,-1
"257",2020-06-25,"Oklahoma",1,10,97,4,-29,6,2020-07-02,10,20,87,13,-34,6,9,10,-10,9,-5,0
"258",2020-06-26,"Oklahoma",-5,2,90,3,-29,7,2020-07-03,2,17,125,5,-53,11,7,15,35,2,-24,4
"259",2020-06-27,"Oklahoma",-10,7,102,13,-10,2,2020-07-04,-27,8,128,-8,-25,1,-17,1,26,-21,-15,-1
"260",2020-06-21,"Oregon",-9,6,104,-10,-14,1,2020-06-28,-11,-2,61,-11,-14,3,-2,-8,-43,-1,0,2
"261",2020-06-22,"Oregon",-8,2,140,-21,-38,8,2020-06-29,-7,1,114,-21,-36,9,1,-1,-26,0,2,1
"262",2020-06-23,"Oregon",-8,5,143,-21,-39,9,2020-06-30,-6,5,101,-21,-38,10,2,0,-42,0,1,1
"263",2020-06-24,"Oregon",-8,4,124,-21,-37,9,2020-07-01,-3,8,105,-18,-38,9,5,4,-19,3,-1,0
"264",2020-06-25,"Oregon",-9,6,117,-21,-38,9,2020-07-02,-2,16,126,-16,-40,8,7,10,9,5,-2,-1
"265",2020-06-26,"Oregon",-15,2,122,-19,-37,8,2020-07-03,-9,16,143,-19,-56,11,6,14,21,0,-19,3
"266",2020-06-27,"Oregon",-19,0,129,-8,-14,3,2020-07-04,-36,4,150,-21,-27,3,-17,4,21,-13,-13,0
"267",2020-06-21,"Pennsylvania",-14,1,158,-22,-10,0,2020-06-28,-10,-1,169,-15,-9,1,4,-2,11,7,1,1
"268",2020-06-22,"Pennsylvania",-14,-6,66,-33,-39,11,2020-06-29,-7,0,101,-30,-36,9,7,6,35,3,3,-2
"269",2020-06-23,"Pennsylvania",-11,-1,73,-32,-38,11,2020-06-30,-3,3,101,-30,-36,9,8,4,28,2,2,-2
"270",2020-06-24,"Pennsylvania",-10,1,104,-28,-36,10,2020-07-01,-2,7,103,-26,-37,9,8,6,-1,2,-1,-1
"271",2020-06-25,"Pennsylvania",-11,1,103,-28,-37,10,2020-07-02,1,13,135,-23,-39,9,12,12,32,5,-2,-1
"272",2020-06-26,"Pennsylvania",-15,-2,117,-26,-36,10,2020-07-03,-8,12,152,-32,-58,14,7,14,35,-6,-22,4
"273",2020-06-27,"Pennsylvania",-18,-2,107,-15,-13,3,2020-07-04,-39,-8,177,-31,-29,3,-21,-6,70,-16,-16,0
"274",2020-06-21,"Rhode Island",-2,0,285,-20,-8,0,2020-06-28,-4,-7,238,-20,-7,3,-2,-7,-47,0,1,3
"275",2020-06-22,"Rhode Island",-2,-6,238,-37,-38,10,2020-06-29,-2,-5,157,-39,-37,11,0,1,-81,-2,1,1
"276",2020-06-23,"Rhode Island",1,-1,254,-34,-38,10,2020-06-30,0,-1,146,-36,-37,11,-1,0,-108,-2,1,1
"277",2020-06-24,"Rhode Island",-2,-4,196,-36,-37,11,2020-07-01,2,5,156,-37,-38,10,4,9,-40,-1,-1,-1
"278",2020-06-25,"Rhode Island",0,-1,297,-31,-36,10,2020-07-02,13,13,385,-26,-39,8,13,14,88,5,-3,-2
"279",2020-06-26,"Rhode Island",-6,-2,260,-32,-36,11,2020-07-03,4,21,298,-29,-57,15,10,23,38,3,-21,4
"280",2020-06-27,"Rhode Island",-15,-8,237,-26,-15,5,2020-07-04,-26,-7,464,-29,-33,2,-11,1,227,-3,-18,-3
"281",2020-06-21,"South Carolina",-4,11,85,14,-14,1,2020-06-28,-7,2,63,18,-13,3,-3,-9,-22,4,1,2
"282",2020-06-22,"South Carolina",-3,4,72,2,-30,7,2020-06-29,-1,4,61,1,-29,8,2,0,-11,-1,1,1
"283",2020-06-23,"South Carolina",-2,6,59,1,-30,9,2020-06-30,0,6,48,1,-30,9,2,0,-11,0,0,0
"284",2020-06-24,"South Carolina",-3,2,46,0,-30,9,2020-07-01,2,6,46,7,-32,8,5,4,0,7,-2,-1
"285",2020-06-25,"South Carolina",-3,4,53,4,-30,9,2020-07-02,6,14,64,12,-35,8,9,10,11,8,-5,-1
"286",2020-06-26,"South Carolina",-7,4,66,7,-30,7,2020-07-03,1,18,92,4,-53,12,8,14,26,-3,-23,5
"287",2020-06-27,"South Carolina",-9,6,93,17,-11,3,2020-07-04,-27,5,98,-10,-28,4,-18,-1,5,-27,-17,1
"288",2020-06-21,"South Dakota",15,37,386,36,-3,-3,2020-06-28,18,36,405,52,-2,-2,3,-1,19,16,1,1
"289",2020-06-22,"South Dakota",11,24,311,31,-25,6,2020-06-29,15,29,334,35,-24,6,4,5,23,4,1,0
"290",2020-06-23,"South Dakota",11,26,332,31,-26,5,2020-06-30,16,31,301,36,-26,6,5,5,-31,5,0,1
