"","start_date","state","retail_rec_p1","grocery_rx_p1","parks_p1","transit_p1","workplaces_p1","residential_p1","end_date","retail_rec_p2","grocery_rx_p2","parks_p2","transit_p2","workplaces_p2","residential_p2","retail_rec_change","grocery_rx_change","parks_change","transit_change","workplace_change","residential_change"
"336",2020-06-27,"Washington",-26,-6,69,-24,-17,5,2020-07-04,-41,-1,148,-27,-30,3,-15,5,79,-3,-13,-2
"337",2020-06-21,"West Virginia",2,15,133,26,-7,-1,2020-06-28,1,9,99,33,-9,1,-1,-6,-34,7,-2,2
"338",2020-06-22,"West Virginia",-1,3,51,9,-30,8,2020-06-29,2,7,71,14,-28,7,3,4,20,5,2,-1
"339",2020-06-23,"West Virginia",3,7,44,7,-29,7,2020-06-30,8,12,75,17,-28,5,5,5,31,10,1,-2
"340",2020-06-24,"West Virginia",3,6,77,14,-28,5,2020-07-01,11,14,90,24,-29,5,8,8,13,10,-1,0
"341",2020-06-25,"West Virginia",2,7,69,14,-28,6,2020-07-02,14,22,102,31,-31,5,12,15,33,17,-3,-1
"342",2020-06-26,"West Virginia",-6,2,92,15,-29,6,2020-07-03,2,17,140,22,-49,9,8,15,48,7,-20,3
"343",2020-06-27,"West Virginia",-5,9,138,38,-10,1,2020-07-04,-24,9,204,8,-21,0,-19,0,66,-30,-11,-1
"344",2020-06-21,"Wisconsin",1,15,330,6,-2,-3,2020-06-28,3,11,341,6,-2,-1,2,-4,11,0,0,2
"345",2020-06-22,"Wisconsin",-7,1,108,-14,-33,10,2020-06-29,-5,4,138,-13,-32,10,2,3,30,1,1,0
"346",2020-06-23,"Wisconsin",-5,6,198,-7,-32,10,2020-06-30,2,12,240,-3,-32,9,7,6,42,4,0,-1
"347",2020-06-24,"Wisconsin",-2,7,210,-6,-31,9,2020-07-01,7,17,258,1,-33,8,9,10,48,7,-2,-1
"348",2020-06-25,"Wisconsin",-1,10,278,-1,-31,8,2020-07-02,11,26,300,5,-37,7,12,16,22,6,-6,-1
"349",2020-06-26,"Wisconsin",-11,3,148,-7,-32,11,2020-07-03,0,22,350,-1,-58,13,11,19,202,6,-26,2
"350",2020-06-27,"Wisconsin",-8,16,328,14,-3,0,2020-07-04,-29,9,355,0,-24,1,-21,-7,27,-14,-21,1
"351",2020-06-21,"Wyoming",13,30,258,37,-7,-3,2020-06-28,14,30,237,48,-7,-1,1,0,-21,11,0,2
"352",2020-06-22,"Wyoming",15,25,275,37,-24,3,2020-06-29,18,28,257,41,-23,4,3,3,-18,4,1,1
"353",2020-06-23,"Wyoming",13,26,267,28,-24,4,2020-06-30,18,29,230,31,-22,5,5,3,-37,3,2,1
"354",2020-06-24,"Wyoming",12,27,278,31,-24,4,2020-07-01,21,36,300,37,-25,3,9,9,22,6,-1,-1
"355",2020-06-25,"Wyoming",11,27,233,35,-25,5,2020-07-02,28,51,349,54,-29,2,17,24,116,19,-4,-3
"356",2020-06-26,"Wyoming",5,30,NA,44,-24,4,2020-07-03,14,51,NA,62,-50,7,9,21,NA,18,-26,3
"357",2020-06-27,"Wyoming",4,31,316,56,-9,-2,2020-07-04,-11,34,404,39,-22,-2,-15,3,88,-17,-13,0
